Gene,Num_nodes
,0
PLAG1_MA0163.1,1
ZNF435_C2H2_1,1
KHDRBS1,1
CSDA,1
HIC1_HUMAN.H11MO.0.C,1
MBD2_HUMAN.H11MO.0.B,1
ZNF354C_MA0130.1,1
ZN382_HUMAN.H11MO.0.C,1
KAISO_HUMAN.H11MO.0.A,1
BARX1_MOUSE.H11MO.0.C,1
ZBTB6_HUMAN.H11MO.0.C,1
(PCBP3)_(Mus_musculus)_(RBD_1.00),1
NFIA_HUMAN.H11MO.0.C,1
HNRNPA2B1,1
(HNRPDL)_(Tetraodon_nigroviridis)_(RBD_0.71),1
ZN418_HUMAN.H11MO.0.C,1
EGR1_C2H2_1,1
NRF1_HUMAN.H11MO.0.A,1
E2F1_E2F_1,1
(RBM47)_(Gallus_gallus)_(RBD_0.96),1
ZN547_HUMAN.H11MO.0.C,1
ZIC1_C2H2_1,1
YB-1,1
ZSC31_HUMAN.H11MO.0.C,1
BCL6B_C2H2_1,1
HEN1_HUMAN.H11MO.0.C,1
BRUNOL5,1
COT1_MOUSE.H11MO.0.B,1
HINFP1_C2H2_3,1
RBMS1,1
MYBA_MOUSE.H11MO.0.C,1
RBM42,1
ZN257_HUMAN.H11MO.0.C,1
KLF8_HUMAN.H11MO.0.C,1
G3BP2,1
ZN528_HUMAN.H11MO.0.C,1
hnRNPK,1
Tp53.mouse_p53l_2,1
EHF_ETS_1,1
RBM46,1
FXR1,1
ZN490_HUMAN.H11MO.0.C,1
ENOX1,1
BACH1_HUMAN.H11MO.0.A,1
SAMD4A,1
ATF1_HUMAN.H11MO.0.B,1
FEZF1_HUMAN.H11MO.0.C,1
HIC2_C2H2_1,1
ZNF232_C2H2_1,1
SART3,1
FOXO1_forkhead_2,1
EOMES_TBX_2,1
MGA_TBX_2,1
(SYNCRIP)_(Xenopus_tropicalis)_(RBD_0.97),1
HSFY2_HSF_1,1
PAX1_MA0779.1,1
ZN134_HUMAN.H11MO.0.C,1
ZN317_HUMAN.H11MO.0.C,1
ZN667_HUMAN.H11MO.0.C,1
Rhox11.mouse_homeodomain_1,1
TIA1,1
ZN274_HUMAN.H11MO.0.A,1
ZFP28_HUMAN.H11MO.0.C,1
CUX1_CUT_3,1
SMCA5_HUMAN.H11MO.0.C,1
THRB_nuclearreceptor_3,1
P53_HUMAN.H11MO.0.A,1
NR4A2_nuclearreceptor_1,1
SOX9_HMG_3,1
(EIF2S1)_(Drosophila_melanogaster)_(RBD_0.89),2
SNRPA,2
PRD16_MOUSE.H11MO.0.B,2
MYBL1_MYB_3,2
SOX10_HMG_2,2
PABPC3,2
ANDR_MOUSE.H11MO.0.A,2
ZIM3_HUMAN.H11MO.0.C,2
STA5A_HUMAN.H11MO.0.A,2
PCBP2,2
PIT1_HUMAN.H11MO.0.C,2
ZN322_HUMAN.H11MO.0.B,2
CPEB4,2
MTF1_C2H2_1,2
PBX1_HUMAN.H11MO.0.A,2
NFKB1_HUMAN.H11MO.1.B,2
EMX1_homeodomain_2,2
HXB7_HUMAN.H11MO.0.C,2
HNRNPA1L2,2
Six3_MA0631.1,2
ACO1,2
Zfp652.mouse_C2H2_1,2
HOXA10_homeodomain_1,2
ATF4_HUMAN.H11MO.0.A,2
SCRT1_C2H2_1,2
FOXI1_forkhead_2,2
RFX1_HUMAN.H11MO.0.B,2
PABPC5,2
THRA_nuclearreceptor_1,2
REL_HUMAN.H11MO.0.B,2
NANOG_HUMAN.H11MO.0.A,2
ZBTB49_C2H2_1,2
ZSCAN4_C2H2_1,2
ZNF524_C2H2_1,2
MZF1_MA0056.1,2
CUX1_CUT_2,2
(RBM38)_(Mus_musculus)_(RBD_0.99),2
ATF3_MOUSE.H11MO.0.A,2
BARX1_homeodomain_1,2
TARDBP,2
GRHL1_CP2_1,2
ESRP2,2
ZNF410_C2H2_1,2
RFX5_HUMAN.H11MO.0.A,2
NFKB1_MA0105.4,2
HNRNPL,3
ZKSC1_HUMAN.H11MO.0.B,3
EOMES_MA0800.1,3
ZFX_HUMAN.H11MO.0.A,3
KLF13_C2H2_1,3
MEIS1_MA0498.2,3
CRX_HUMAN.H11MO.0.B,3
COE1_HUMAN.H11MO.0.A,3
RBM6,3
SMAD3_HUMAN.H11MO.0.B,3
PRDM9_MOUSE.H11MO.0.C,3
NR2E1_nuclearreceptor_1,3
ERR2_MOUSE.H11MO.0.A,3
Nr2e3_MA0164.1,3
ZN586_HUMAN.H11MO.0.C,3
RBPJ_MA1116.1,3
ZNF41_HUMAN.H11MO.0.C,3
NR2E3_HUMAN.H11MO.0.C,3
FOXO1_forkhead_3,3
ALX3_MA0634.1,3
FOXH1_HUMAN.H11MO.0.A,3
ZN140_HUMAN.H11MO.0.C,3
RBMY1A1,3
GLI1_MOUSE.H11MO.0.C,3
ASCL1_HUMAN.H11MO.0.A,3
BATF3_HUMAN.H11MO.0.B,3
CLOCK_HUMAN.H11MO.0.C,3
TBP_HUMAN.H11MO.0.A,3
PABPC1,3
AP2A_HUMAN.H11MO.0.A,3
ZN331_HUMAN.H11MO.0.C,3
MZF1_HUMAN.H11MO.0.B,3
PRDM1_C2H2_1,3
hnRNPLL,4
IKZF1_HUMAN.H11MO.0.C,4
CNOT4,4
ZNF8_HUMAN.H11MO.0.C,4
SNAI2_C2H2_1,4
ARNTL_bHLH_1,4
PEBB_HUMAN.H11MO.0.C,4
Ddit3+Cebpa_MA0019.1,4
HNF4A_HUMAN.H11MO.0.A,4
NKX2-3_MA0672.1,4
SMAD2_MOUSE.H11MO.0.A,4
ARI5B_HUMAN.H11MO.0.C,4
PAX5_HUMAN.H11MO.0.A,4
SPI1_ETS_1,4
CUX2_MOUSE.H11MO.0.C,4
TEAD1_HUMAN.H11MO.0.A,4
NFAC1_MOUSE.H11MO.0.A,4
ATF7_MA0834.1,4
GFI1B_HUMAN.H11MO.0.A,4
SOX10_HMG_4,4
EVI1_HUMAN.H11MO.0.B,5
NFIA_NFI_1,5
FIGLA_MA0820.1,5
ZNF784_C2H2_1,5
Atoh1.mouse_bHLH_1,5
NFAT5_MA0606.1,5
Lhx3_MA0135.1,5
Arid3a_MA0151.1,5
CEBPA_HUMAN.H11MO.0.A,5
LEF1_HUMAN.H11MO.0.A,5
Dux_MA0611.1,5
Z354A_HUMAN.H11MO.0.C,5
CTCFL_HUMAN.H11MO.0.A,5
COT1_HUMAN.H11MO.0.C,5
CPEB1_RRM_1,5
NR1H3_HUMAN.H11MO.0.B,5
PABPN1,5
HNF1A_HUMAN.H11MO.0.C,5
ZBT7A_HUMAN.H11MO.0.A,6
U2AF2,6
ZNF85_HUMAN.H11MO.0.C,6
HNRNPC,6
(HNRNPR)_(Gallus_gallus)_(RBD_0.97),6
ZN554_HUMAN.H11MO.0.C,6
TYY1_HUMAN.H11MO.0.A,6
PO2F1_HUMAN.H11MO.0.C,6
(SF3B4)_(Danio_rerio)_(RBD_1.00),6
IRF2_MA0051.1,6
EHF_HUMAN.H11MO.0.B,7
NONO,7
NFIA_MA0670.1,7
HNRNPCL1,7
SRF_HUMAN.H11MO.0.A,7
ZN431_MOUSE.H11MO.0.C,7
Fusip1,7
BCL6_HUMAN.H11MO.0.A,7
FUS,7
LEF1_HMG_1,7
HXA10_HUMAN.H11MO.0.C,7
FOXB1_forkhead_2,7
SOX5_HUMAN.H11MO.0.C,7
ZN384_HUMAN.H11MO.0.C,8
MEOX2_homeodomain_3,8
POU1F1_POU_1,8
ANDR_HUMAN.H11MO.0.A,8
ZN708_HUMAN.H11MO.0.C,8
MAFB_HUMAN.H11MO.0.B,9
LIN54_MA0619.1,9
RALY,9
ERR1_HUMAN.H11MO.0.A,9
ZN250_HUMAN.H11MO.0.C,9
ZNF24_MA1124.1,9
NR2F1_nuclearreceptor_2,9
MEF2A_HUMAN.H11MO.0.A,12
EWSR1-FLI1_MA0149.1,13
SOX10_HUMAN.H11MO.0.B,13
HAND1_MOUSE.H11MO.0.C,13
OZF_HUMAN.H11MO.0.C,14
Z324A_HUMAN.H11MO.0.C,15
ZN563_HUMAN.H11MO.0.C,15
FOXC1_forkhead_1,16
EGR1_HUMAN.H11MO.0.A,16
RBMS3,16
GATA1+TAL1_MA0140.2,17
KLF15_HUMAN.H11MO.0.A,17
BC11A_HUMAN.H11MO.0.A,21
PABPC4,21
ZN121_HUMAN.H11MO.0.C,23
Arid5a_MA0602.1,24
ELAVL2,32
ZNF384_MA1125.1,39
NFAC1_HUMAN.H11MO.0.B,40
BRAC_HUMAN.H11MO.0.A,42
NR1D1_HUMAN.H11MO.0.B,47
AIRE_HUMAN.H11MO.0.C,57
