Gene,Num_nodes
ZFX_HUMAN.H11MO.0.A,1
COE1_HUMAN.H11MO.0.A,1
ZN768_HUMAN.H11MO.0.C,1
CPEB1_RRM_1,1
CNOT4,1
ATF3_MOUSE.H11MO.0.A,1
ZIC1_C2H2_1,1
ZN431_MOUSE.H11MO.0.C,1
ZFP57_MOUSE.H11MO.0.B,1
TFAP2A_AP2_6,1
FOXO1_forkhead_3,1
ZN250_HUMAN.H11MO.0.C,1
BACH1_HUMAN.H11MO.0.A,1
RBPJ_MA1116.1,1
ESRP2,1
HNRNPL,1
MZF1_HUMAN.H11MO.0.B,1
RALY,1
LIN28A,1
ZNF85_HUMAN.H11MO.0.C,1
MYBA_MOUSE.H11MO.0.C,1
ZN586_HUMAN.H11MO.0.C,1
(SYNCRIP)_(Xenopus_tropicalis)_(RBD_0.97),1
SRBP1_HUMAN.H11MO.0.A,1
ZBTB49_C2H2_1,1
KLF8_HUMAN.H11MO.0.C,1
MZF1_MA0057.1,1
MECP2_HUMAN.H11MO.0.C,2
FUS,2
PTBP1,2
NONO,2
PCBP1,2
U2AF2,2
hnRNPK,2
GATA1+TAL1_MA0140.2,2
ATOH1_HUMAN.H11MO.0.B,2
GLI1_MOUSE.H11MO.0.C,2
ZN329_HUMAN.H11MO.0.C,2
ZN418_HUMAN.H11MO.0.C,2
RFX5_HUMAN.H11MO.0.A,2
TEAD1_HUMAN.H11MO.0.A,2
TIA1,2
RFX1_HUMAN.H11MO.0.B,2
Fusip1,2
MBD2_HUMAN.H11MO.0.B,2
ZN563_HUMAN.H11MO.0.C,2
REST_HUMAN.H11MO.0.A,2
FIGLA_MA0820.1,2
SOX10_HUMAN.H11MO.0.B,2
HNRNPCL1,2
PAX5_HUMAN.H11MO.0.A,2
BRAC_HUMAN.H11MO.0.A,3
CTCFL_HUMAN.H11MO.0.A,3
SRSF9,3
E2F1_HUMAN.H11MO.0.A,3
RBMX,3
ZN121_HUMAN.H11MO.0.C,4
ANDR_HUMAN.H11MO.0.A,4
ZNF41_HUMAN.H11MO.0.C,4
SRSF2,4
ZBTB6_HUMAN.H11MO.0.C,4
ZFP28_HUMAN.H11MO.0.C,4
FOXC1_forkhead_1,4
ESR1_HUMAN.H11MO.0.A,4
ZN554_HUMAN.H11MO.0.C,5
NFIA_HUMAN.H11MO.0.C,5
OSR2_HUMAN.H11MO.0.C,5
PCBP2,5
ZN331_HUMAN.H11MO.0.C,5
PRD16_MOUSE.H11MO.0.B,5
(SRSF4)_(Drosophila_melanogaster)_(RBD_0.77),5
ZN257_HUMAN.H11MO.0.C,5
ZIC1_HUMAN.H11MO.0.B,5
ZN320_HUMAN.H11MO.0.C,5
ASCL1_HUMAN.H11MO.0.A,5
P53_HUMAN.H11MO.0.A,5
IKZF1_HUMAN.H11MO.0.C,6
AP2A_HUMAN.H11MO.0.A,6
ZN449_HUMAN.H11MO.0.C,7
CPEB4,8
HAND1_MOUSE.H11MO.0.C,8
ZSC31_HUMAN.H11MO.0.C,8
NR1D1_HUMAN.H11MO.0.B,8
NFAC1_HUMAN.H11MO.0.B,9
SAMD4A,13
SMAD2_MOUSE.H11MO.0.A,13
EGR1_HUMAN.H11MO.0.A,15
ZN322_HUMAN.H11MO.0.B,16
BC11A_HUMAN.H11MO.0.A,16
PABPC1,19
PRDM5_MOUSE.H11MO.0.A,24
Z324A_HUMAN.H11MO.0.C,24
ZNF384_MA1125.1,34
COT1_HUMAN.H11MO.0.C,35
HNRNPH2,38
SMAD3_HUMAN.H11MO.0.B,60
ELAVL2,63
PABPC4,95
KLF15_HUMAN.H11MO.0.A,172
